"prefix","owner_country","status","source","candidates","dxcc_examples"
"1A","SMO Malta","resolved","ng3k-itu-owner","SMO Malta","Sov Mil Order of Malta"
"1S","Spratly Is","resolved","ng3k-itu-owner","Spratly Is","Spratly Islands"
"2A","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"2D","Isle of Man","resolved","ng3k-direct","Isle of Man","Isle of Man"
"2E","England","resolved","ng3k-direct","England","England"
"2I","No Ireland","resolved","ng3k-itu-owner","No Ireland","Northern Ireland"
"2J","Jersey","resolved","ng3k-direct","Jersey","Jersey"
"2M","Scotland","resolved","ng3k-direct","Scotland","Scotland"
"2M0BDR","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"2M0BDT","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"2M0CPN","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"2M0GFC","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"2M0SEG","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"2M0SPX","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"2M0ZET","Scotland","resolved","ng3k-itu-owner","Scotland","Shetland Islands"
"2U","Guernsey","resolved","ng3k-direct","Guernsey","Guernsey"
"2W","Wales","resolved","ng3k-direct","Wales","Wales"
"3A","Monaco","resolved","ng3k-direct","Monaco","Monaco"
"3B6","Agalega & St Brandon","resolved","ng3k-itu-owner","Agalega & St Brandon","Agalega & St. Brandon"
"3B7","Agalega & St Brandon","resolved","ng3k-itu-owner","Agalega & St Brandon","Agalega & St. Brandon"
"3B8","Mauritius","resolved","ng3k-direct","Mauritius","Mauritius"
"3B9","Rodriguez Is","resolved","ng3k-itu-owner","Rodriguez Is","Rodriguez Island"
"3C","Equatorial Guinea","resolved","ng3k-direct","Equatorial Guinea","Equatorial Guinea"
"3C0","Annobon Is","resolved","ng3k-itu-owner","Annobon Is","Annobon Island"
"3D2","Conway Reef","resolved","ng3k-itu-owner","Conway Reef","Fiji"
"3D2/C","Conway Reef","resolved","ng3k-direct","Conway Reef","Conway Reef"
"3D2/R","","unresolved","","","Rotuma Island"
"3D2CCC","Conway Reef","resolved","ng3k-direct","Conway Reef","Conway Reef"
"3D2RI","","unresolved","","","Rotuma Island"
"3DA","Swaziland","resolved","ng3k-itu-owner","Swaziland","Kingdom of Eswatini"
"3E","Panama","resolved","ng3k-direct","Panama","Panama"
"3F","Panama","resolved","ng3k-direct","Panama","Panama"
"3G","Chile","resolved","ng3k-direct","Chile","Chile"
"3G0","Easter Is","resolved","ng3k-itu-owner","Easter Is","Easter Island"
"3G0X","San Felix","resolved","ng3k-itu-owner","San Felix","San Felix & San Ambrosio"
"3G0Z","Juan Fernandez","resolved","ng3k-itu-owner","Juan Fernandez","Juan Fernandez Islands"
"3G7","Chile","resolved","ng3k-direct","Chile","Chile"
"3G8","Chile","resolved","ng3k-direct","Chile","Chile"
"3H","China","resolved","ng3k-direct","China","China"
"3H0","China","resolved","ng3k-direct","China","China"
"3H9","China","resolved","ng3k-direct","China","China"
"3I","China","resolved","ng3k-direct","China","China"
"3I0","China","resolved","ng3k-direct","China","China"
"3I9","China","resolved","ng3k-direct","China","China"
"3J","China","resolved","ng3k-direct","China","China"
"3J0","China","resolved","ng3k-direct","China","China"
"3J9","China","resolved","ng3k-direct","China","China"
"3K","China","resolved","ng3k-direct","China","China"
"3K0","China","resolved","ng3k-direct","China","China"
"3K9","China","resolved","ng3k-direct","China","China"
"3L","China","resolved","ng3k-direct","China","China"
"3L0","China","resolved","ng3k-direct","China","China"
"3L9","China","resolved","ng3k-direct","China","China"
"3M","China","resolved","ng3k-direct","China","China"
"3M0","China","resolved","ng3k-direct","China","China"
"3M9","China","resolved","ng3k-direct","China","China"
"3N","China","resolved","ng3k-direct","China","China"
"3N0","China","resolved","ng3k-direct","China","China"
"3N9","China","resolved","ng3k-direct","China","China"
"3O","China","resolved","ng3k-direct","China","China"
"3O0","China","resolved","ng3k-direct","China","China"
"3O9","China","resolved","ng3k-direct","China","China"
"3P","China","resolved","ng3k-direct","China","China"
"3P0","China","resolved","ng3k-direct","China","China"
