"prefix","dxcc_entity","dxcc_name","owner_country","source"
"1A","246","Sov Mil Order of Malta","SMO Malta","ng3k-itu-owner"
"1S","247","Spratly Islands","Spratly Is","ng3k-itu-owner"
"2A","279","Scotland","Scotland","ng3k-direct"
"2D","114","Isle of Man","Isle of Man","ng3k-direct"
"2E","223","England","England","ng3k-direct"
"2I","265","Northern Ireland","No Ireland","ng3k-itu-owner"
"2J","122","Jersey","Jersey","ng3k-direct"
"2M","279","Scotland","Scotland","ng3k-direct"
"2M0BDR","279","Shetland Islands","Scotland","ng3k-itu-owner"
"2M0BDT","279","Shetland Islands","Scotland","ng3k-itu-owner"
"2M0CPN","279","Shetland Islands","Scotland","ng3k-itu-owner"
"2M0GFC","279","Shetland Islands","Scotland","ng3k-itu-owner"
"2M0SEG","279","Shetland Islands","Scotland","ng3k-itu-owner"
"2M0SPX","279","Shetland Islands","Scotland","ng3k-itu-owner"
"2M0ZET","279","Shetland Islands","Scotland","ng3k-itu-owner"
"2U","106","Guernsey","Guernsey","ng3k-direct"
"2W","294","Wales","Wales","ng3k-direct"
"3A","260","Monaco","Monaco","ng3k-direct"
"3B6","4","Agalega & St. Brandon","Agalega & St Brandon","ng3k-itu-owner"
"3B7","4","Agalega & St. Brandon","Agalega & St Brandon","ng3k-itu-owner"
"3B8","165","Mauritius","Mauritius","ng3k-direct"
"3B9","207","Rodriguez Island","Rodriguez Is","ng3k-itu-owner"
"3C","49","Equatorial Guinea","Equatorial Guinea","ng3k-direct"
"3C0","195","Annobon Island","Annobon Is","ng3k-itu-owner"
"3D2","176","Fiji","Conway Reef","ng3k-itu-owner"
"3D2/C","489","Conway Reef","Conway Reef","ng3k-direct"
"3D2/R","460","Rotuma Island",,"unresolved"
"3D2CCC","489","Conway Reef","Conway Reef","ng3k-direct"
"3D2RI","460","Rotuma Island",,"unresolved"
"3DA","468","Kingdom of Eswatini","Swaziland","ng3k-itu-owner"
"3E","88","Panama","Panama","ng3k-direct"
"3F","88","Panama","Panama","ng3k-direct"
"3G","112","Chile","Chile","ng3k-direct"
"3G0","47","Easter Island","Easter Is","ng3k-itu-owner"
"3G0X","217","San Felix & San Ambrosio","San Felix","ng3k-itu-owner"
"3G0Z","125","Juan Fernandez Islands","Juan Fernandez","ng3k-itu-owner"
"3G7","112","Chile","Chile","ng3k-direct"
"3G8","112","Chile","Chile","ng3k-direct"
"3H","318","China","China","ng3k-direct"
"3H0","318","China","China","ng3k-direct"
"3H9","318","China","China","ng3k-direct"
"3I","318","China","China","ng3k-direct"
"3I0","318","China","China","ng3k-direct"
"3I9","318","China","China","ng3k-direct"
"3J","318","China","China","ng3k-direct"
"3J0","318","China","China","ng3k-direct"
"3J9","318","China","China","ng3k-direct"
"3K","318","China","China","ng3k-direct"
"3K0","318","China","China","ng3k-direct"
"3K9","318","China","China","ng3k-direct"
"3L","318","China","China","ng3k-direct"
"3L0","318","China","China","ng3k-direct"
"3L9","318","China","China","ng3k-direct"
"3M","318","China","China","ng3k-direct"
"3M0","318","China","China","ng3k-direct"
"3M9","318","China","China","ng3k-direct"
