part	text_index	letter	down_ms	up_ms	actual_down_ms	actual_up_ms
0	0	D	1500.00	1706.58	1504.43	1710.79
0	0	D	1786.45	1864.74	1790.22	1868.80
0	0	D	1934.97	2010.13	1938.99	2013.97
0	1	E	2294.60	2381.68	2298.37	2385.51
0	3	4	2962.06	3032.72	2965.91	3036.46
0	3	4	3106.19	3180.87	3109.70	3184.73
0	3	4	3255.99	3345.83	3260.27	3349.90
0	3	4	3414.52	3491.77	3418.84	3495.48
0	3	4	3566.18	3796.57	3570.58	3800.38
0	4	Z	4055.07	4274.11	4058.89	4277.69
0	4	Z	4342.53	4577.54	4346.30	4581.12
0	4	Z	4661.04	4746.10	4665.15	4749.76
0	4	Z	4818.66	4902.99	4822.77	4906.88
0	5	5	5212.18	5290.47	5215.96	5294.09
0	5	5	5356.69	5431.75	5360.79	5435.90
0	5	5	5506.21	5587.19	5510.11	5591.71
0	5	5	5662.15	5729.23	5666.14	5733.53
0	5	5	5798.16	5877.18	5802.05	5881.02
0	6	S	6142.87	6219.99	6146.57	6223.86
0	6	S	6292.82	6370.89	6297.07	6374.70
0	6	S	6440.36	6514.29	6444.53	6518.30
0	7	L	6785.67	6865.07	6790.00	6868.86
0	7	L	6938.40	7203.28	6942.01	7207.10
0	7	L	7285.26	7365.76	7289.37	7369.83
0	7	L	7431.00	7509.00	7434.90	7513.24
0	9	=	8123.33	8343.81	8127.38	8347.68
0	9	=	8417.64	8500.04	8421.32	8504.41
0	9	=	8576.59	8645.03	8580.56	8648.98
0	9	=	8726.23	8808.81	8730.37	8812.69
0	9	=	8880.87	9137.10	8885.00	9140.66
0	11	L	9718.59	9791.93	9722.41	9795.75
0	11	L	9865.38	10107.98	9869.01	10111.74
0	11	L	10183.66	10266.21	10188.00	10269.94
0	11	L	10345.95	10426.37	10350.08	10430.10
0	12	O	10679.93	10884.18	10683.65	10888.54
0	12	O	10962.20	11221.98	10966.47	11225.82
0	12	O	11297.10	11549.82	11301.24	11554.03
0	13	T	11827.38	12067.24	11831.28	12071.56
0	14	W	12336.07	12410.67	12340.35	12414.71
0	14	W	12487.69	12711.16	12491.87	12714.82
0	14	W	12788.94	13007.33	12792.70	13010.94
0	16	8	13676.23	13895.03	13680.02	13898.92
0	16	8	13969.18	14189.02	13973.46	14192.87
0	16	8	14265.87	14484.46	14270.32	14488.47
0	16	8	14558.07	14636.88	14561.74	14641.25
0	16	8	14723.23	14816.30	14727.36	14820.36
0	17	8	15034.42	15307.72	15038.46	15311.82
0	17	8	15381.76	15629.64	15385.62	15633.25
0	17	8	15701.27	15937.60	15705.70	15941.62
0	17	8	16008.80	16085.93	16012.54	16090.22
0	17	8	16165.89	16253.28	16170.11	16257.20
0	19	G	16857.83	17127.11	16861.81	17131.41
0	19	G	17205.05	17474.96	17209.10	17479.22
0	19	G	17535.32	17614.63	17539.17	17618.21
0	20	L	17880.23	17961.70	17884.46	17965.29
0	20	L	18037.82	18251.75	18042.18	18255.53
0	20	L	18322.39	18394.32	18326.31	18398.24
0	20	L	18470.62	18541.57	18475.09	18545.10
0	22	H	19206.21	19275.99	19210.01	19280.46
0	22	H	19348.30	19421.56	19352.81	19425.60
0	22	H	19499.54	19583.68	19503.30	19587.73
0	22	H	19659.67	19746.04	19664.03	19750.01
0	23	P	19998.81	20082.94	20003.06	20086.95
0	23	P	20147.01	20342.07	20150.74	20345.64
0	23	P	20405.51	20661.09	20409.50	20665.42
0	23	P	20738.63	20820.35	20742.53	20824.44
0	24	E	21114.21	21200.72	21118.28	21204.77
0	26	Q	21819.50	22053.81	21823.41	22058.08
0	26	Q	22134.20	22392.59	22138.72	22396.95
0	26	Q	22474.27	22541.78	22478.79	22545.28
0	26	Q	22620.00	22874.56	22623.79	22878.25
0	27	T	23487.05	23749.01	23491.31	23752.84
0	28	H	24020.74	24101.12	24025.13	24104.80
0	28	H	24179.51	24266.87	24183.12	24270.93
0	28	H	24348.91	24425.12	24352.55	24429.52
0	28	H	24497.32	24582.80	24501.68	24587.12
0	30	A	25193.13	25264.85	25197.55	25268.57
0	30	A	25337.26	25585.21	25341.44	25589.24
0	31	N	25870.00	26096.22	25874.18	26100.69
0	31	N	26168.09	26238.31	26171.83	26241.95
0	32	T	26519.42	26775.93	26523.62	26780.11
0	34	Q	27349.46	27592.07	27353.61	27595.59
0	34	Q	27663.72	27916.58	27667.60	27920.61
0	34	Q	27992.49	28070.69	27996.74	28074.75
0	34	Q	28145.47	28367.29	28149.74	28371.08
