"Prefix","FlagCountry"
"1A","SMO Malta"
"1S","Spratly Is"
"2D","England"
"2I","England"
"2J","England"
"2M","England"
"2U","England"
"2W","England"
"3A","Monaco"
"3B8","Mauritius"
"3C","Equatorial Guinea"
"3D2","Fiji"
"3DA","Swaziland"
"3V","Tunisia"
"3W","Vietnam"
"3X","Guinea"
"3Y","Norway"
"4J","Azerbaijan"
"4L","Georgia"
"4O","Montenegro"
"4S","Sri Lanka"
"4U","UN HQ"
"4W","Timor Leste"
"4X","Israel"
"5A","Libya"
"5B","Cyprus"
"5H","Tanzania"
"5N","Nigeria"
"5R","Madagascar"
"5T","Mauritania"
"5U","Niger"
"5V","Togo"
"5W","Samoa"
"5X","Uganda"
"5Z","Kenya"
"6W","Senegal"
"6Y","Jamaica"
"7O","Yemen"
"7P","Lesotho"
"7Q","Malawi"
"7X","Algeria"
"8P","Barbados"
"8Q","Maldives"
"8R","Guyana"
"9A","Croatia"
"9G","Ghana"
"9H","Malta"
"9J","Zambia"
"9K","Kuwait"
"9L","Sierra Leone"
"9M2","West Malaysia"
"9N","Nepal"
"9Q","Dem Rep Congo (Zaire)"
"9U","Burundi"
"9V","Singapore"
"9X","Rwanda"
"9Y","Trinidad & Tobago"
"A2","Botswana"
"A3","Tonga"
"A4","Oman"
"A5","Bhutan"
"A6","United Arab Emirates"
"A7","Qatar"
"A9","Bahrain"
"AL","United States"
"AP","Pakistan"
"BM","China"
"BN","China"
"BO","China"
"BP","China"
"BQ","China"
"BU","China"
"BV","China"
"BW","China"
"BX","China"
"BY","China"
"C2","Nauru"
"C3","Andorra"
"C5","Gambia"
"C6","Bahamas"
"C9","Mozambique"
"CE","Chile"
"CN","Morocco"
"CO","Cuba"
"CP","Bolivia"
"CT","Portugal"
"CU","Portugal"
"CX","Uruguay"
"D2","Angola"
"D4","Cape Verde"
"D6","Comoros"
"DL","Germany"
"DU","Philippines"
"E3","Eritrea"
"E4","Palestine"
"E7","Bosnia-Hercegovina"
"EA","Spain"
"EI","Ireland"
"EK","Armenia"
"EL","Liberia"
"EP","Iran"
"ER","Moldova"
"ES","Estonia"
"ET","Ethiopia"
"EV","Belarus"
"EX","Kyrgyzstan"
"EY","Tajikistan"
"EZ","Turkmenistan"
"F","France"
"FG","France"
"FH","France"
"FJ","France"
"FK","France"
"FM","France"
"FO","France"
"FP","France"
"FR","France"
"FS","France"
"FW","France"
"FY","France"
"G","England"
"GC","England"
"GD","England"
"GH","England"
"GI","England"
"GJ","England"
"GM","England"
"GN","England"
"GP","England"
"GS","England"
"GT","England"
"GU","England"
"GW","England"
"GZ","England"
"H4","Solomon Is"
"HA","Hungary"
"HB","Switzerland"
"HC","Ecuador"
"HH","Haiti"
"HI","Dominican Rep"
"HK","Colombia"
"HL","So Korea"
"HP","Panama"
"HR","Honduras"
"HS","Thailand"
"HV","Vatican"
"HZ","Saudi Arabia"
"I","Italy"
"IS","Italy"
"J2","Djibouti"
"J3","Grenada"
"J5","Guinea-Bissau"
"J6","St Lucia"
"J7","Dominica"
"J8","St Vincent"
"JA","Japan"
"JD","Japan"
"JT","Mongolia"
"JW","Norway"
"JX","Norway"
"JY","Jordan"
"K","United States"
"KL","United States"
"LA","Norway"
"LU","Argentina"
"LX","Luxembourg"
"LY","Lithuania"
"LZ","Bulgaria"
"MC","England"
"MD","England"
"MH","England"
"MI","England"
"MJ","England"
"MM","England"
"MN","England"
"MP","England"
"MS","England"
"MT","England"
"MU","England"
"MW","England"
"MZ","England"
"NL","United States"
"OA","Peru"
"OD","Lebanon"
"OE","Austria"
"OH","Finland"
"OK","Czech Republic"
"OM","Slovakia"
"ON","Belgium"
"OW","Denmark"
"OX","Denmark"
"OY","Denmark"
"OZ","Denmark"
"P2","Papua New Guinea"
"P4","Aruba"
"P5","No Korea"
"PA","Netherlands"
"PY","Brazil"
"PZ","Surinam"
"S0","Western Sahara"
"S2","Bangladesh"
"S5","Slovenia"
"S7","Seychelles"
"S9","Sao Tome & Principe"
"SM","Sweden"
"SP","Poland"
"ST","Sudan"
"SU","Egypt"
"SV","Greece"
"T2","Tuvalu"
"T31","Central Kiribati"
"T5","Somalia"
"T6","Afghanistan"
"T7","San Marino"
"T8","Palau"
"TA","Turkey"
"TF","Iceland"
"TG","Guatemala"
"TI","Costa Rica"
"TJ","Cameroon"
"TK","France"
"TL","Central African Rep"
"TN","Congo"
"TO","France"
"TR","Gabon"
"TT","Chad"
"TU","Ivory Coast"
"TX","France"
"TY","Benin"
"TZ","Mali"
"UA","Russia"
"UK","Uzbekistan"
"UN","Kazakhstan"
"UR","Ukraine"
"V2","Antigua, Barbuda"
"V3","Belize"
"V4","St Kitts, Nevis"
"V5","Namibia"
"V6","Micronesia"
"V7","Marshall Is"
"V8","Brunei"
"VE","Canada"
"VK","Australia"
"VU","India"
"WL","United States"
"XE","Mexico"
"XP","Denmark"
"XT","Burkina Faso"
"XU","Cambodia"
"XW","Laos"
"XZ","Myanmar (Burma)"
"YB","Indonesia"
"YI","Iraq"
"YJ","Vanuatu"
"YK","Syria"
"YL","Latvia"
"YN","Nicaragua"
"YO","Romania"
"YS","El Salvador"
"YU","Serbia"
"YV","Venezuela"
"Z2","Zimbabwe"
"Z3","Macedonia"
"Z8","South Sudan"
"ZA","Albania"
"ZB","England"
"ZC","England"
"ZF","England"
"ZL","New Zealand"
"ZP","Paraguay"
"ZS","So Africa"
