"Prefix","FlagCountry"
"1A","Sov. Mil. Order of Malta"
"1S","Spratly Is."
"2A","England"
"2B","England"
"2C","England"
"2D","England"
"2E","England"
"2F","England"
"2G","England"
"2H","England"
"2I","England"
"2J","England"
"2K","England"
"2L","England"
"2M","England"
"2N","England"
"2O","England"
"2P","England"
"2Q","England"
"2R","England"
"2S","England"
"2T","England"
"2U","England"
"2V","England"
"2W","England"
"2X","England"
"2Y","England"
"2Z","England"
"3A","Monaco"
"3B","Mauritius"
"3B6","Mauritius"
"3B7","Mauritius"
"3B8","Mauritius"
"3B9","Mauritius"
"3C","Equatorial Guinea"
"3C0","Equatorial Guinea"
"3D2","Fiji"
"3DA","Swaziland"
"3DB","Swaziland"
"3DC","Swaziland"
"3DD","Swaziland"
"3DE","Swaziland"
"3DF","Swaziland"
"3DG","Swaziland"
"3DH","Swaziland"
"3DI","Swaziland"
"3DJ","Swaziland"
"3DK","Swaziland"
"3DL","Swaziland"
"3DM","Swaziland"
"3DN","Fiji"
"3DO","Fiji"
"3DP","Fiji"
"3DQ","Fiji"
"3DR","Fiji"
"3DS","Fiji"
"3DT","Fiji"
"3DU","Fiji"
"3DV","Fiji"
"3DW","Fiji"
"3DX","Fiji"
"3DY","Fiji"
"3DZ","Fiji"
"3E","Panama"
"3F","Panama"
"3G","Chile"
"3H","China"
"3I","China"
"3J","China"
"3K","China"
"3L","China"
"3M","China"
"3N","China"
"3O","China"
"3P","China"
"3Q","China"
"3R","China"
"3S","China"
"3T","China"
"3U","China"
"3V","Tunisia"
"3W","Vietnam"
"3X","Guinea"
"3Y","Norway"
"3Z","Poland"
"4A","Mexico"
"4B","Mexico"
"4C","Mexico"
"4D","Philippines"
"4E","Philippines"
"4F","Philippines"
"4G","Philippines"
"4H","Philippines"
"4I","Philippines"
"4J","Azerbaijan"
"4K","Azerbaijan"
"4K1","Chile"
"4L","Georgia"
"4M","Venezuela"
"4O","Montenegro"
"4P","Sri Lanka"
"4Q","Sri Lanka"
"4R","Sri Lanka"
"4S","Sri Lanka"
"4T","Peru"
"4U","United Nations HQ"
"4V","Haiti"
"4W","East Timor"
"4X","Israel"
"4Z","Israel"
"5A","Libya"
"5B","Cyprus"
"5C","Morocco"
"5D","Morocco"
"5E","Morocco"
"5F","Morocco"
"5G","Morocco"
"5H","Tanzania"
"5I","Tanzania"
"5J","Colombia"
"5K","Colombia"
"5L","Liberia"
"5M","Liberia"
"5N","Nigeria"
"5O","Nigeria"
"5P","Denmark"
"5Q","Denmark"
"5R","Madagascar"
"5S","Madagascar"
"5T","Mauritania"
"5U","Niger"
"5V","Togo"
"5W","Western Samoa"
"5X","Uganda"
"5Y","Kenya"
"5Z","Kenya"
"6A","Egypt"
"6B","Egypt"
"6C","Syria"
"6D","Mexico"
"6E","Mexico"
"6F","Mexico"
"6G","Mexico"
"6H","Mexico"
"6I","Mexico"
"6J","Mexico"
"6K","South Korea"
"6L","South Korea"
"6M","South Korea"
"6N","South Korea"
"6O","Somalia"
"6P","Pakistan"
"6Q","Pakistan"
"6R","Pakistan"
"6S","Pakistan"
"6T","Sudan"
"6U","Sudan"
"6V","Senegal"
"6W","Senegal"
"6X","Madagascar"
"6Y","Jamaica"
"6Z","Liberia"
